map,orbit_map,target_p,observable,xi_true,lambda,orbit_id,orbit_seed,k,i_star,series_len_m,N_k,mu_hat,sigma_hat,xi_hat,mu_star_hat,sigma_star_hat,n_S_all,S_all_min,S_all_max,segment,n_used,alpha,istar_rule
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,1,15.0,30000,2000.0,2.7434323156096685,0.7147156055434127,0.3259190489585738,2.0834325881219016,0.49960912204768204,198,15.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,2,30.0,29999,999.0,1.8474813351752655,0.06714356666458979,-0.779572475699376,1.5854545816257835,0.1581084222798226,3,30.0,40.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,3,35.0,29998,857.0,1.5732626822328504,0.037395561203473135,-0.7848357941215447,1.4014760414880671,0.05801830210504155,2,35.0,40.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,6,,29995,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,8,,29993,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,9,145.0,29992,206.0,1.4540831617377137,0.0401718246769422,-0.2674536939742691,1.2346291061453558,0.02243637191861357,20,145.0,280.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,0,698823144548493184,10,175.0,29991,171.0,1.446929367938321,0.03716637164430871,-0.2573560592492152,1.2307743200125452,0.0186328115594751,82,175.0,875.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,1,16371576964515379200,1,10.0,30000,3000.0,2.4688350323764414,0.6095664446055657,0.33146036225195474,2.091339755842201,0.48444172349712455,199,10.0,1000.0,test,30000,0.01,min
